surface,reading,reading_seion,reading_search,count_hira
康弘,やすひろ,やすひろ,ひろ,4
眞人,まさと,まさと,さと,3
藤樹,とーじゅ,とーしゅ,しゅ,4
香与子,かよこ,かよこ,よこ,3
千紘,ちひろ,ちひろ,ひろ,3
杏村,きょーそん,きょーそん,そん,5
宏幸,ひろゆき,ひろゆき,ゆき,4
ミヤコ,みやこ,みやこ,やこ,3
三ツ藤,みつふじ,みつふし,ふし,4
麻季,まき,まき,まき,2
君代,きみよ,きみよ,みよ,3
賢介,けんすけ,けんすけ,すけ,4
藤倉,ふじくら,ふしくら,くら,4
金潤万,きんじゅんまん,きんしゅんまん,まん,7
頼圀,よりくに,よりくに,くに,4
長久保,ながくぼ,なかくほ,くほ,4
昌晃,まさあき,まさあき,あき,4
永倉,ながくら,なかくら,くら,4
曽原,そはら,そはら,はら,3
得治,とくじ,とくし,くし,3
デハーネ,ではーね,てはーね,ーね,4
ハンフリー,はんふりー,はんふりー,りー,5
大川原,おーかわら,おーかわら,わら,5
満香,みか,みか,みか,2
トン,とん,とん,とん,2
香水,こーすい,こーすい,すい,4
やゑ子,やえこ,やえこ,えこ,3
斑鳩,いかる,いかる,かる,3
桔平,きっぺい,きっへい,へい,4
典利江,のりえ,のりえ,りえ,3
高良,こーら,こーら,ーら,3
ルカ,るか,るか,るか,2
昌巳,まさみ,まさみ,さみ,3
夏央,なつお,なつお,つお,3
柏村,かしむら,かしむら,むら,4
ワトソン,わとそん,わとそん,そん,4
彦三,ひこぞー,ひこそー,そー,4
哲央,てつお,てつお,つお,3
佶,ただし,たたし,たし,3
フェリー,ふぇりー,ふぇりー,りー,4
キヨコ,きよこ,きよこ,よこ,3
孝安,たかやす,たかやす,やす,4
荻須,おぎす,おきす,きす,3
ケイジ,けいじ,けいし,いし,3
伝川,つたがわ,つたかわ,かわ,4
夏貴,なつき,なつき,つき,3
司朗,しろー,しろー,ろー,3
ミナ子,みなこ,みなこ,なこ,3
佐知子,さちこ,さちこ,ちこ,3
三宅,みやけ,みやけ,やけ,3
実茶,みさ,みさ,みさ,2
紀元,のりもと,のりもと,もと,4
紀元,きげん,きけん,けん,3
阿波根,あはごん,あはこん,こん,4
阿波根,あはね,あはね,はね,3
満美子,まみこ,まみこ,みこ,3
片田,かただ,かたた,たた,3
梅幸,ばいこー,はいこー,こー,4
井高野,いたかの,いたかの,かの,4
長俊,ながとし,なかとし,とし,4
倉崎,くらさき,くらさき,さき,4
鹿取,かとり,かとり,とり,3
真理雄,まりお,まりお,りお,3
アルワン,あるわん,あるわん,わん,4
登久也,とくや,とくや,くや,3
沙季,さき,さき,さき,2
正樹,まさき,まさき,さき,3
資之,すけゆき,すけゆき,ゆき,4
西澤,にしざわ,にしさわ,さわ,4
久敏,ひさとし,ひさとし,とし,4
キムホク,きむほく,きむほく,ほく,4
満尭,みつたか,みつたか,たか,4
僧旻,そーみん,そーみん,みん,4
慶太郎,けいたろー,けいたろー,ろー,5
高鳳翰,こーほーかん,こーほーかん,かん,6
別宮,べつみや,へつみや,みや,4
弘綱,ひろつな,ひろつな,つな,4
愛野,あいの,あいの,いの,3
しさ子,しさこ,しさこ,さこ,3
ウォルムズリー,うぉるむずりー,うぉるむすりー,りー,7
梁川,りょーせん,りょーせん,せん,5
フランキー堺,ふらんきーさかい,ふらんきーさかい,かい,8
強志,つよし,つよし,よし,3
眞佐子,まさこ,まさこ,さこ,3
八雄,はちお,はちお,ちお,3
原武,はらたけ,はらたけ,たけ,4
留里,るり,るり,るり,2
