surface,reading,reading_seion,reading_search,count_hira
十勝毎日新聞社,とかちまいにちしんぶんしゃ,とかちまいにちしんふんしゃ,しゃ,13
愛知銀行,あいちぎんこー,あいちきんこー,こー,7
金沢美術工芸大,かなざわびじゅつこーげいだい,かなさわひしゅつこーけいたい,たい,14
パレスホテル,ぱれすほてる,はれすほてる,てる,6
東京ヘレン・ケラー協会,とーきょーへれんけらーきょーかい,とーきょーへれんけらーきょーかい,かい,16
ウィーンベースボール・ク,うぃーんべーすぼーるく,うぃーんへーすほーるく,るく,11
八幡ねじ,やはたねじ,やはたねし,ねし,5
中電工業,ちゅーでんこーぎょー,ちゅーてんこーきょー,ょー,10
前橋工,まえばしこー,まえはしこー,こー,6
西日本信販,にしにっぽんしんぱん,にしにっほんしんはん,はん,10
ＪＲＡ,じぇいあーるえい,しぇいあーるえい,えい,8
大東京しあわせ生命保険,だいとーきょーしあわせせいめいほけん,たいとーきょーしあわせせいめいほけん,けん,18
北星学園女子短大,ほくせいがくえんじょしたんだい,ほくせいかくえんしょしたんたい,たい,15
林ベニヤ,はやしべにや,はやしへにや,にや,6
中央魚類,ちゅーおーぎょるい,ちゅーおーきょるい,るい,9
江戸一,えどいち,えといち,いち,4
マリモクラフト,まりもくらふと,まりもくらふと,ふと,7
健康保険人吉総合病院,けんこーほけんひとよしそーごーびょーいん,けんこーほけんひとよしそーこーひょーいん,いん,20
主婦と生活社,しゅふとせいかつしゃ,しゅふとせいかつしゃ,しゃ,10
東京電子設計,とーきょーでんしせっけい,とーきょーてんしせっけい,けい,12
山陽コカ・コーラボトリング,さんよーこかこーらぼとりんぐ,さんよーこかこーらほとりんく,んく,14
大倉電気,おーくらでんき,おーくらてんき,んき,7
メックス,めっくす,めっくす,くす,4
柏書房,かしわしょぼー,かしわしょほー,ほー,7
メルダック,めるだっく,めるたっく,っく,5
佐賀大学,さがだいがく,さかたいかく,かく,6
神戸新聞社,こーべしんぶんしゃ,こーへしんふんしゃ,しゃ,9
東洋物産,とーよーぶっさん,とーよーふっさん,さん,8
早大,そーだい,そーたい,たい,4
日和山観光,ひよりやまかんこー,ひよりやまかんこー,こー,9
内田油圧機器工業,うちだゆあつききこーぎょー,うちたゆあつききこーきょー,ょー,13
福留ハム,ふくとめはむ,ふくとめはむ,はむ,6
池伝,いけでん,いけてん,てん,4
ベ平連,べへいれん,へへいれん,れん,5
イシイコーポレーション,いしいこーぽれーしょん,いしいこーほれーしょん,ょん,11
聖霊女子短大,せいれいじょしたんだい,せいれいしょしたんたい,たい,11
阪急百貨店,はんきゅーひゃっかてん,はんきゅーひゃっかてん,てん,11
門司港ホテル,もじこーほてる,もしこーほてる,てる,7
福島県立会津短期大学,ふくしまけんりつあいずたんきだいがく,ふくしまけんりつあいすたんきたいかく,かく,18
パスコ,ぱすこ,はすこ,すこ,3
カンダ,かんだ,かんた,んた,3
大多喜ガス,おーたきがす,おーたきかす,かす,6
ウィズウェイストジャパン,うぃずうぇいすとじゃぱん,うぃすうぇいすとしゃはん,はん,12
名港海運,めいこーかいうん,めいこーかいうん,うん,8
コスモ証券,こすもしょーけん,こすもしょーけん,けん,8
明治薬科大,めいじやっかだい,めいしやっかたい,たい,8
備前サービスセンター,びぜんさーびすせんたー,ひぜんさーひすせんたー,たー,11
名古屋造形芸術短大,なごやぞーけいげいじゅつたんだい,なこやそーけいけいしゅつたんたい,たい,16
日本高周波鋼業,にほんこーしゅーはこーぎょー,にほんこーしゅーはこーきょー,ょー,14
ウタリ共同,うたりきょーどー,うたりきょーとー,とー,8
タクマ,たくま,たくま,くま,3
冨士工業,ふじこーぎょー,ふしこーきょー,ょー,7
住吉会,すみよしかい,すみよしかい,かい,6
帝都信用金庫,ていとしんよーきんこ,ていとしんよーきんこ,んこ,10
アイダエンジニアリング,あいだえんじにありんぐ,あいたえんしにありんく,んく,11
シモジマ商事,しもじましょーじ,しもしましょーし,ーし,8
佐賀医科大学,さがいかだいがく,さかいかたいかく,かく,8
関東自動車,かんとーじどーしゃ,かんとーしとーしゃ,しゃ,9
東浴,とーよく,とーよく,よく,4
児島洋紙,こじまよーし,こしまよーし,ーし,6
萬代,ばんだい,はんたい,たい,4
元旦ビューティ工業,がんたんびゅーてぃこーぎょー,かんたんひゅーてぃこーきょー,ょー,14
本多通信工業,ほんだつーしんこーぎょー,ほんたつーしんこーきょー,ょー,12
東京物産,とーきょーぶっさん,とーきょーふっさん,さん,9
コパル電子,こぱるでんし,こはるてんし,んし,6
コガネイ,こがねい,こかねい,ねい,4
