surface,reading,reading_seion,reading_search,count_hira
美濃赤坂線,みのあかさかせん,みのあかさかせん,せん,8
広見山,ひろみやま,ひろみやま,やま,5
ファンタスト,ふぁんたすと,ふぁんたすと,すと,6
村碆,むらばえ,むらはえ,はえ,4
甲森,かぶともり,かふともり,もり,5
千葉マリン,ちばまりん,ちはまりん,りん,5
小日向山,おびなたやま,おひなたやま,やま,6
草尾峠,くさおとーげ,くさおとーけ,ーけ,6
八神,やがみ,やかみ,かみ,3
ナカ崎,なかさき,なかさき,さき,4
障子山,しょーじやま,しょーしやま,やま,6
会津長野,あいずながの,あいすなかの,かの,6
切ノ鼻,きりのはな,きりのはな,はな,5
天王,てんのー,てんのー,のー,4
シリムクリ崎,しりむくりざき,しりむくりさき,さき,7
乙舞峠,おとまいとーげ,おとまいとーけ,ーけ,7
枕木山,まくらぎさん,まくらきさん,さん,6
茶臼原,ちゃうすばる,ちゃうすはる,はる,6
鷹巣盆地,たかのすぼんち,たかのすほんち,んち,7
湯蔵山,ゆぞーさん,ゆそーさん,さん,5
白樺高原,しらかばこーげん,しらかはこーけん,けん,8
引っかけ橋,ひっかけばし,ひっかけはし,はし,6
仙山東線,せんざんとーせん,せんさんとーせん,せん,8
イワオヌプリ,いわおぬぷり,いわおぬふり,ふり,6
油川,あぶらかわ,あふらかわ,かわ,5
遠戸島,とーどしま,とーとしま,しま,5
猪ノ瀬,いのせ,いのせ,のせ,3
下深川,しもふかわ,しもふかわ,かわ,5
有形山,ありがたやま,ありかたやま,やま,6
延方,のぶかた,のふかた,かた,4
湖尻峠,こじりとーげ,こしりとーけ,ーけ,6
磯原,いそはら,いそはら,はら,4
福士川,ふくしがわ,ふくしかわ,かわ,5
マン,まん,まん,まん,2
水郡南線,すいぐんなんせん,すいくんなんせん,せん,8
志計礼辺山,しけれぺやま,しけれへやま,やま,6
牛ヶ首島,うしがくびじま,うしかくひしま,しま,7
三光寺,さんこーじ,さんこーし,ーし,5
塩ノ沢峠,しおのさわとーげ,しおのさわとーけ,ーけ,8
港南中央,こーなんちゅーおー,こーなんちゅーおー,おー,9
繰石峠,くりいしとーげ,くりいしとーけ,ーけ,7
シノダイ崎,しのだいさき,しのたいさき,さき,6
佐田岬,さだみさき,さたみさき,さき,5
陣場,じんば,しんは,んは,3
山嶽,さんごく,さんこく,こく,4
池郷川,いけごーがわ,いけこーかわ,かわ,6
梶取ノ鼻,かじとりのはな,かしとりのはな,はな,7
富良野盆地,ふらのぼんち,ふらのほんち,んち,6
本郷三丁目,ほんごーさんちょーめ,ほんこーさんちょーめ,ーめ,10
大竹,おーたけ,おーたけ,たけ,4
天ケ岡,てんがおか,てんかおか,おか,5
札幌貨物ターミナル,さっぽろかもつたーみなる,さっほろかもつたーみなる,なる,12
ハルタモシリ島,はるたもしりとー,はるたもしりとー,とー,8
木津,きず,きす,きす,2
鯨ヶ岳,くじらがだけ,くしらかたけ,たけ,6
鯨ヶ岳,くじらがたけ,くしらかたけ,たけ,6
留茶留山,るちゃるやま,るちゃるやま,やま,6
田野,たの,たの,たの,2
小野子山,おのこやま,おのこやま,やま,5
高倉森,たかくらもり,たかくらもり,もり,6
靄岳,もやだけ,もやたけ,たけ,4
尻高森,しりたかもり,しりたかもり,もり,6
兜巾山,ときんやま,ときんやま,やま,5
安祥寺山,あんしょーてらやま,あんしょーてらやま,やま,9
不動川,ふどーがわ,ふとーかわ,かわ,5
入鹿別川,いりしかべつがわ,いりしかへつかわ,かわ,8
久々子湖,くぐしこ,くくしこ,しこ,4
ヌカナン川,ぬかなんがわ,ぬかなんかわ,かわ,6
野津辺沢,のっぺざわ,のっへさわ,さわ,5
大天橋,おーあまばし,おーあまはし,はし,6
笹島鼻,ささじまばな,ささしまはな,はな,6
諸葛川,もろぐつがわ,もろくつかわ,かわ,6
節刀ヶ岳,せっとーがたけ,せっとーかたけ,たけ,7
小大日山,こだいにちざん,こたいにちさん,さん,7
増穂ケ浦,ますほがうら,ますほかうら,うら,6
筒賀,つつが,つつか,つか,3
宇井郷谷,ういごーだに,ういこーたに,たに,6
郡元,こーりもと,こーりもと,もと,5
中央高校前,ちゅーおーこーこーまえ,ちゅーおーこーこーまえ,まえ,11
佐々並川,さざなみがわ,ささなみかわ,かわ,6
沖ノ黒島,おきのくろしま,おきのくろしま,しま,7
馬糞森山,ばふんもりやま,はふんもりやま,やま,7
広見線,ひろみせん,ひろみせん,せん,5
長谷峠,ながたにとーげ,なかたにとーけ,ーけ,7
五所川原,ごしょがわら,こしょかわら,わら,6
南股沢,みなみまたざわ,みなみまたさわ,さわ,7
恵那,えな,えな,えな,2
姫路,ひめじ,ひめし,めし,3
草薙,くさなぎ,くさなき,なき,4
三本峠,さんぼんとーげ,さんほんとーけ,ーけ,7
大津賀山,おーつがやま,おーつかやま,やま,6
猿ケ山,さるがやま,さるかやま,やま,5
碧海,へきかい,へきかい,かい,4
笠良原,かさらばら,かさらはら,はら,5
十王峠,じゅーおーとーげ,しゅーおーとーけ,ーけ,8
十王峠,じおーとーげ,しおーとーけ,ーけ,6
尾崎山,おざきやま,おさきやま,やま,5
尾崎山,おさきやま,おさきやま,やま,5
有帆川,ありほがわ,ありほかわ,かわ,5
常盤川,ときわがわ,ときわかわ,かわ,5
上豊田,かみとよた,かみとよた,よた,5
イスラム教,いすらむきょー,いすらむきょー,ょー,7
西太子堂,にしたいしどー,にしたいしとー,とー,7
柴森山,しばもりやま,しはもりやま,やま,6
佐見川,さみがわ,さみかわ,かわ,4
宗谷湾,そーやわん,そーやわん,わん,5
今淵ヶ岳,いまぶちがだけ,いまふちかたけ,たけ,7
島ヶ原,しまがはら,しまかはら,はら,5
深日港,ふけこー,ふけこー,こー,4
田尾寺,たおじ,たおし,おし,3
安家川,あっかがわ,あっかかわ,かわ,5
石門崎,せきもんざき,せきもんさき,さき,6
須原,すはら,すはら,はら,3
初潮丸,はつしおまる,はつしおまる,まる,6
鵜ノ子岬,うのこみさき,うのこみさき,さき,6
三小島,みつこじま,みつこしま,しま,5
石神峠,いしがみとーげ,いしかみとーけ,ーけ,7
虹ノ松原,にじのまつばら,にしのまつはら,はら,7
ミ子,みね,みね,みね,2
カニングハム,かにんぐはむ,かにんくはむ,はむ,6
宇ノ気川,うのけがわ,うのけかわ,かわ,5
多子津山,たこずやま,たこすやま,やま,5
博多港,はかたこー,はかたこー,こー,5
小安岳,おやすだけ,おやすたけ,たけ,5
筑紫平野,つくしへいや,つくしへいや,いや,6
ニトヌプリ,にとぬぷり,にとぬふり,ふり,5
倶利伽羅峠,くりからとーげ,くりからとーけ,ーけ,7
頂吉,かぐめよし,かくめよし,よし,5
伊奈牛,いなうし,いなうし,うし,4
古宇利島,こうりとー,こうりとー,とー,5
阿瀬ノ島,あぜのしま,あぜのしま,しま,5
寺町,てらまち,てらまち,まち,4
ペナクシュベツ川,ぺなくしゅべつがわ,へなくしゅへつかわ,かわ,9
箱根湯本,はこねゆもと,はこねゆもと,もと,6
鮑荒崎,あわびあらさき,あわひあらさき,さき,7
野根山,のねやま,のねやま,やま,4
間崎島,まさきじま,まさきしま,しま,5
峯岳,みねだけ,みねたけ,たけ,4
西条,にしじょー,にししょー,ょー,5
西条,さいじょー,さいしょー,ょー,5
篠目,しのめ,しのめ,のめ,3
一方高,いっぽんこー,いっほんこー,こー,6
ひばりヶ丘,ひばりがおか,ひはりかおか,おか,6
見付島,みつけじま,みつけしま,しま,5
柳峠,やなぎとーげ,やなきとーけ,ーけ,6
神之嶺崎,かんにんざき,かんにんさき,さき,6
九ノ島,くのしま,くのしま,しま,4
石見寺山,いしみじやま,いしみしやま,やま,6
東毛呂,ひがしもろ,ひかしもろ,もろ,5
トゥルーライズ,とぅるーらいず,とぅるーらいす,いす,7
ベッピリガイ山,べっぴりがいやま,へっひりかいやま,やま,8
エンデバー,えんでばー,えんてはー,はー,5
プランタン,ぷらんたん,ふらんたん,たん,5
野母崎,のもざき,のもさき,さき,4
梵天山,ぼんてんやま,ほんてんやま,やま,6
ボンノ鼻,ぼんのはな,ほんのはな,はな,5
善法寺岩,ぜんぽーじいわ,ぜんほーしいわ,いわ,7
電力所前,でんりょくしょまえ,てんりょくしょまえ,まえ,9
備中高梁,びっちゅーたかはし,ひっちゅーたかはし,はし,9
羽後境,うごさかい,うこさかい,かい,5
西中通,にしなかどーり,にしなかとーり,ーり,7
中書島,ちゅーしょじま,ちゅーしょしま,しま,7
山上ヶ岳,さんじょーがだけ,さんしょーかたけ,たけ,8
金生川,きんせいがわ,きんせいかわ,かわ,6
心見川,こころみがわ,こころみかわ,かわ,6
ガス会社前,がすがいしゃまえ,かすかいしゃまえ,まえ,8
音羽山,おとはさん,おとはさん,さん,5
音羽山,おとわやま,おとわやま,やま,5
ウドノセ鼻,うどのせばな,うとのせはな,はな,6
高岩山,たかいわやま,たかいわやま,やま,6
由良沖,ゆらおき,ゆらおき,おき,4
稲志別川,いなしべつかわ,いなしへつかわ,かわ,7
河原田川,かわはらたがわ,かわはらたかわ,かわ,7
金田,かなだ,かなた,なた,3
浜益御殿,はまますごてん,はまますこてん,てん,7
鬼面山,きめんざん,きめんさん,さん,5
西神延伸線,せいしんえんしんせん,せいしんえんしんせん,せん,10
能登線,のとせん,のとせん,せん,4
高後崎,こーござき,こーこさき,さき,5
大高取山,おーたかとりやま,おーたかとりやま,やま,8
越後寒川,えちごかんがわ,えちこかんかわ,かわ,7
丸石,まるいし,まるいし,いし,4
逢原島,あいはらじま,あいはらしま,しま,6
三十人ケ仙,さんじゅーにんがせん,さんしゅーにんかせん,せん,10
東寺,とーじ,とーし,ーし,3
市幾良鼻,いちきらばな,いちきらはな,はな,6
有利里川,うりりがわ,うりりかわ,かわ,5
三滝川,みたきがわ,みたきかわ,かわ,5
城ヶ島,じょーがしま,しょーかしま,しま,6
亀ケ岳,かめがだけ,かめかたけ,たけ,5
ナゴヤ,なごや,なこや,こや,3
奥西山,おくにしやま,おくにしやま,やま,6
流山寺,ながれやまでら,なかれやまてら,てら,7
一ッ石山,ひとついしやま,ひとついしやま,やま,7
西単冠山,にしひとかっぷやま,にしひとかっふやま,やま,9
貴志,きし,きし,きし,2
底土湾,そこどわん,そことわん,わん,5
八幡,やはた,やはた,はた,3
八幡,やわた,やわた,わた,3
信濃境,しなのさかい,しなのさかい,かい,6
津軽島,つがるじま,つかるしま,しま,5
神町,じんまち,しんまち,まち,4
大釈迦川,だいしゃかがわ,たいしゃかかわ,かわ,7
柳ケ瀬線,やながせせん,やなかせせん,せん,6
紀勢東線,きせいとーせん,きせいとーせん,せん,7
鹿ノ子滝,かのこたき,かのこたき,たき,5
鳥海山ろく線,ちょーかいさんろくせん,ちょーかいさんろくせん,せん,11
Ｍ４０Ａ１,えむよんぜろえいいち,えむよんぜろえいいち,いち,10
熨斗,のし,のし,のし,2
中瀬,なかせ,なかせ,かせ,3
かづい,かずい,かすい,すい,3
越生,おごせ,おこせ,こせ,3
水潜寺,すいせんじ,すいせんし,んし,5
高田大岳,たかだおーだけ,たかたおーたけ,たけ,7
塩屋,しおや,しおや,おや,3
近江中庄,おーみなかしょー,おーみなかしょー,ょー,8
野手上山,のてがみやま,のてかみやま,やま,6
萌消崎,もえけしざき,もえけしさき,さき,6
棒小屋沢,ぼーごやざわ,ほーこやさわ,さわ,6
覚王山日泰寺,かくおーざんにったいじ,かくおーさんにったいし,いし,11
西ノ峰,にしのみね,にしのみね,みね,5
古佐内川,こさないがわ,こさないかわ,かわ,6
雪裡川,せつりがわ,せつりかわ,かわ,5
霧里川,むりかわ,むりかわ,かわ,4
冠島,かんむりしま,かんむりしま,しま,6
冠島,かんむりじま,かんむりしま,しま,6
源蔵ヶ鼻,げんぞーがはな,けんそーかはな,はな,7
海驢立鼻,あしかんだちばな,あしかんたちはな,はな,8
戸倉,とぐら,とくら,くら,3
気田川,きたがわ,きたかわ,かわ,4
クラ,くら,くら,くら,2
金熊寺川,きんにゅーじがわ,きんにゅーしかわ,かわ,8
羽豆岬,はずみさき,はすみさき,さき,5
徳間峠,とくまとーげ,とくまとーけ,ーけ,6
渡瀬,わたぜ,わたぜ,たぜ,3
田川後藤寺,たがわごとーじ,たかわことーし,ーし,7
下玉田川,しもたまたかわ,しもたまたかわ,かわ,7
赤荒峠,あかあれとーげ,あかあれとーけ,ーけ,7
竜ヶ崎線,りゅーがさきせん,りゅーかさきせん,せん,8
真申,まさる,まさる,さる,3
敬川,うやがわ,うやかわ,かわ,4
須刈岳,すがれがたけ,すかれかたけ,たけ,6
大蔵谷,おーくらだに,おーくらたに,たに,6
ヘソ,へそ,へそ,へそ,2
えびの高原,えびのこーげん,えひのこーけん,けん,7
ユーカリが丘線,ゆーかりがおかせん,ゆーかりかおかせん,せん,9
高尾登山電鉄線,たかおとざんでんてつせん,たかおとさんてんてつせん,せん,12
大橋川,おーはしがわ,おーはしかわ,かわ,6
黒尊川,くろそんがわ,くろそんかわ,かわ,6
尻無川,しりなしがわ,しりなしかわ,かわ,6
大野原,おーのはら,おーのはら,はら,5
海南,かいなん,かいなん,なん,4
堺筋線,さかいすじせん,さかいすしせん,せん,7
烏川,からすがわ,からすかわ,かわ,5
山王峠,さんのーとーげ,さんのーとーけ,ーけ,7
舘ヶ崎,たてがさき,たてかさき,さき,5
竜崎,りゅーざき,りゅーさき,さき,5
竜崎,たつざき,たつさき,さき,4
竜崎,たつさき,たつさき,さき,4
大辞泉,だいじせん,たいしせん,せん,5
大網,おーあみ,おーあみ,あみ,4
今泉川,いまいずみかわ,いまいすみかわ,かわ,7
下蒲刈島,しもかまがりじま,しもかまかりしま,しま,8
牛朱別川,うししゅべつがわ,うししゅへつかわ,かわ,8
田村丸,たむらがん,たむらかん,かん,5
川俣線,かわまたせん,かわまたせん,せん,6
美唄山,びばいやま,ひはいやま,やま,5
笛貫ノ滝,ふえぬきのたき,ふえぬきのたき,たき,7
宮床線,みやとこせん,みやとこせん,せん,6
頓田川,とんだがわ,とんたかわ,かわ,5
弁天ケ浜,べんてんがはま,へんてんかはま,はま,7
金流川,きんりゅーがわ,きんりゅーかわ,かわ,7
ギネスブック,ぎねすぶっく,きねすふっく,っく,6
北岩,きたいわ,きたいわ,いわ,4
大谷池,おーやち,おーやち,やち,4
阿佐線,あさせん,あさせん,せん,4
森合,もりあい,もりあい,あい,4
鴨山川,かもやまがわ,かもやまかわ,かわ,6
明治大分水路,めいじおーいたすいろ,めいしおーいたすいろ,いろ,10
賀老川,がろーがわ,かろーかわ,かわ,5
相合橋,あいあいばし,あいあいはし,はし,6
弓削,ゆげ,ゆけ,ゆけ,2
塚沢山,つかさわやま,つかさわやま,やま,6
ハシメ,はしめ,はしめ,しめ,3
山梨県営小瀬,やまなしけんえいこせ,やまなしけんえいこせ,こせ,10
阪和,はんわ,はんわ,んわ,3
立髪,たてがみ,たてかみ,かみ,4
八高線,はちこーせん,はちこーせん,せん,6
雲谷平,もやだいら,もやたいら,いら,5
黒沢山,くろさわやま,くろさわやま,やま,6
佐敷太郎峠,さしきたろーとーげ,さしきたろーとーけ,ーけ,9
伊勢物語,いせものがたり,いせものかたり,たり,7
秩父ヶ浦,ちちぶがうら,ちちふかうら,うら,6
応善寺,おーぜんじ,おーぜんし,んし,5
