surface,reading,reading_seion,reading_search,count_hira
仕舞い,しまい,しまい,まい,3
綺,あやぎぬ,あやきぬ,きぬ,4
洋裁,よーさい,よーさい,さい,4
組打ち,くみうち,くみうち,うち,4
畿内,きない,きない,ない,3
明き家,あきや,あきや,きや,3
酔,よい,よい,よい,2
乱臣,らんしん,らんしん,しん,4
シルバー,しるばー,しるはー,はー,4
放課後,ほーかご,ほーかこ,かこ,4
漢籍,かんせき,かんせき,せき,4
玉髄,ぎょくずい,きょくすい,すい,5
フリースクール,ふりーすくーる,ふりーすくーる,ーる,7
私傷,ししょー,ししょー,ょー,4
死に顔,しにがお,しにかお,かお,4
文明,ぶんめい,ふんめい,めい,4
本領,ほんりょー,ほんりょー,ょー,5
客受け,きゃくうけ,きゃくうけ,うけ,5
フォーマット,ふぉーまっと,ふぉーまっと,っと,6
東半球,ひがしはんきゅー,ひかしはんきゅー,ゅー,8
サティアン,さてぃあん,さてぃあん,あん,5
存否,そんぴ,そんひ,んひ,3
残飯,ざんぱん,さんはん,はん,4
賃搗,ちんずき,ちんすき,すき,4
常民,じょーみん,しょーみん,みん,5
別後,べつご,へつこ,つこ,3
心血,しんけつ,しんけつ,けつ,4
九輪,くりん,くりん,りん,3
軍法,ぐんぽー,くんほー,ほー,4
煎茶,せんちゃ,せんちゃ,ちゃ,4
既望,きぼー,きほー,ほー,3
紙鳶,いかのぼり,いかのほり,ほり,5
大蔵経,だいぞーきょー,たいそーきょー,ょー,7
棟木,むなぎ,むなき,なき,3
神隠し,かみがくし,かみかくし,くし,5
辻つま,つじつま,つしつま,つま,4
割箸,わりばし,わりはし,はし,4
魁,さきがけ,さきかけ,かけ,4
しらす,しらす,しらす,らす,3
インフォームド・コンセント,いんふぉーむどこんせんと,いんふぉーむとこんせんと,んと,12
学課,がっか,かっか,っか,3
右目,みぎめ,みきめ,きめ,3
わさん,わさん,わさん,さん,3
奇書,きしょ,きしょ,しょ,3
発条,はつじょー,はつしょー,ょー,5
青色,あおいろ,あおいろ,いろ,4
お目見得,おめみえ,おめみえ,みえ,4
入り船,いりふね,いりふね,ふね,4
ズームアップ,ずーむあっぷ,すーむあっふ,っふ,6
ポイントツーポイント,ぽいんとつーぽいんと,ほいんとつーほいんと,んと,10
都県,とけん,とけん,けん,3
素子,そし,そし,そし,2
不抜,ふばつ,ふはつ,はつ,3
プロダクション,ぷろだくしょん,ふろたくしょん,ょん,7
在銘,ざいめい,さいめい,めい,4
鏡台,きょーだい,きょーたい,たい,5
錯角,さっかく,さっかく,かく,4
寄生虫,きせいちゅー,きせいちゅー,ゅー,6
現数,げんすー,けんすー,すー,4
世辞,せじ,せし,せし,2
コクガ,こくが,こくか,くか,3
日向ぼっこ,ひなたぼっこ,ひなたほっこ,っこ,6
癇の虫,かんのむし,かんのむし,むし,5
出し物,だしもの,たしもの,もの,4
手並,てなみ,てなみ,なみ,3
端初,たんしょ,たんしょ,しょ,4
親代わり,おやがわり,おやかわり,わり,5
硬式,こーしき,こーしき,しき,4
小割り,こわり,こわり,わり,3
蘆荻,ろてき,ろてき,てき,3
職歴,しょくれき,しょくれき,れき,5
湾岸,わんがん,わんかん,かん,4
気鬱,きうつ,きうつ,うつ,3
他門,たもん,たもん,もん,3
前座,ぜんざ,ぜんさ,んさ,3
未婚,みこん,みこん,こん,3
口言葉,くちことば,くちことは,とは,5
厨子,ずし,すし,すし,2
おろ抜き,おろぬき,おろぬき,ぬき,4
皆朱,かいしゅ,かいしゅ,しゅ,4
林産,りんさん,りんさん,さん,4
懇命,こんめい,こんめい,めい,4
真下,ました,ました,した,3
ソナタ,そなた,そなた,なた,3
船人,ふなびと,ふなひと,ひと,4
氏名,しめい,しめい,めい,3
プレビュー,ぷれびゅー,ふれひゅー,ゅー,5
年上,としうえ,としうえ,うえ,4
裸足,はだし,はたし,たし,3
ヒンズー,ひんずー,ひんすー,すー,4
連用形,れんよーけい,れんよーけい,けい,6
雨避け,あまよけ,あまよけ,よけ,4
仏道,ぶつどー,ふつとー,とー,4
偶感,ぐーかん,くーかん,かん,4
方解石,ほーかいせき,ほーかいせき,せき,6
警世,けいせい,けいせい,せい,4
